iter,noise,n_samples,model,r2
1,5,1810,XGB,-0.014740220806383597
1,5,2010,CPF,0.16035037252920314
1,5,2010,RF,0.12734216179581592
1,5,2010,LR,0.17282742831990372
1,5,2010,XGB,-0.04418570630308438
1,5,2210,CPF,0.16391071480936226
1,5,2210,RF,0.11810710373294431
1,5,2210,LR,0.17538482117302645
1,5,2210,XGB,0.0025397110780764898
1,5,2410,CPF,0.16393728145616715
1,5,2410,RF,0.1252581061414676
1,5,2410,LR,0.17736284488625875
1,5,2410,XGB,-0.01617071586112595
1,5,2610,CPF,0.16111451341079963
1,5,2610,RF,0.12294917898977586
1,5,2610,LR,0.17994094459842602
1,5,2610,XGB,-0.04157888607804594
1,5,2810,CPF,0.16784465657786862
1,5,2810,RF,0.11336363249275005
1,5,2810,LR,0.18347478811164997
1,5,2810,XGB,-0.019962814448825306
1,5,3010,CPF,0.17409822503772887
1,5,3010,RF,0.12417003653181358
1,5,3010,LR,0.1862538577225561
1,5,3010,XGB,-0.02820302930132268
1,5,3210,CPF,0.16573394311567746
1,5,3210,RF,0.12096240181139595
1,5,3210,LR,0.18703985524481181
1,5,3210,XGB,-0.025396059410226268
1,5,3410,CPF,0.1695704262610469
1,5,3410,RF,0.1193744036747123
1,5,3410,LR,0.18524484361559945
1,5,3410,XGB,-0.016791150809288835
1,5,3610,CPF,0.16469686892141921
1,5,3610,RF,0.13089909598420912
1,5,3610,LR,0.18662627857561698
1,5,3610,XGB,-0.0024782620658585497
1,5,3810,CPF,0.16408173514683044
1,5,3810,RF,0.12532155272985324
1,5,3810,LR,0.18672943833069366
1,5,3810,XGB,-0.016099377874199794
1,5,4010,CPF,0.1666253320400919
1,5,4010,RF,0.12786266426333326
1,5,4010,LR,0.18783675026697355
1,5,4010,XGB,-0.009851850480562474
1,5,4210,CPF,0.1719304351091565
1,5,4210,RF,0.13262144369699436
1,5,4210,LR,0.18712121678397065
1,5,4210,XGB,-0.00796218405302107
1,5,4410,CPF,0.1743022450245797
1,5,4410,RF,0.1393077687169627
1,5,4410,LR,0.18658238909774127
1,5,4410,XGB,-0.010946055719534664
1,5,4610,CPF,0.1728474022214681
1,5,4610,RF,0.1263134779962144
1,5,4610,LR,0.18608434977688393
1,5,4610,XGB,-0.0033615495351910774
1,5,4810,CPF,0.17521845604623743
1,5,4810,RF,0.12608343581357784
1,5,4810,LR,0.18518461602523384
1,5,4810,XGB,-0.014417816263326833
1,5,5010,CPF,0.17087302816296157
1,5,5010,RF,0.12453400098557699
1,5,5010,LR,0.1854792604360338
1,5,5010,XGB,0.014950653837352612
1,5,5210,CPF,0.17463484212553848
1,5,5210,RF,0.12468342231628993
1,5,5210,LR,0.18685559979262867
1,5,5210,XGB,0.004335130596434755
1,5,5410,CPF,0.1729107193117304
1,5,5410,RF,0.12642943233325576
1,5,5410,LR,0.18760487765865874
1,5,5410,XGB,-0.014662321427928227
1,5,5610,CPF,0.17805158674057964
1,5,5610,RF,0.12975369036229845
1,5,5610,LR,0.18827655661761333
1,5,5610,XGB,-0.004813345165832539
1,5,5810,CPF,0.18093319847242095
1,5,5810,RF,0.12071651354423374
1,5,5810,LR,0.18787430234657632
1,5,5810,XGB,0.018235293502920413
1,5,6010,CPF,0.17653634777290994
1,5,6010,RF,0.1267255110289952
1,5,6010,LR,0.18711269151760335
1,5,6010,XGB,0.009247853563535635
2,5,10,CPF,-0.127601929393935
2,5,10,RF,-0.3441497323611151
2,5,10,LR,-3.5901647867222115
2,5,10,XGB,-1.240780619640021
2,5,210,CPF,0.11242544107628938
2,5,210,RF,0.11230846579400489
2,5,210,LR,0.1198875380306097
2,5,210,XGB,-0.053703221548382585
2,5,410,CPF,0.13218183165426933
2,5,410,RF,0.12450568235205894
2,5,410,LR,0.17129150329186482
2,5,410,XGB,0.011299290623674518
2,5,610,CPF,0.1345611956515197
2,5,610,RF,0.13047174218382462
2,5,610,LR,0.18551773710541108
2,5,610,XGB,-0.006007925536399172
2,5,810,CPF,0.1412402192271155
2,5,810,RF,0.14440791346816817
2,5,810,LR,0.19523024318787163
2,5,810,XGB,0.033596904995979227
2,5,1010,CPF,0.1532853491770293
2,5,1010,RF,0.15009652269830986
2,5,1010,LR,0.2049590172678265
2,5,1010,XGB,0.03091295871898303
2,5,1210,CPF,0.15204873206169212
2,5,1210,RF,0.14468602297342215
2,5,1210,LR,0.2054166348225963
2,5,1210,XGB,0.02084323946921507
2,5,1410,CPF,0.16127734665687288
2,5,1410,RF,0.14923099091025327
2,5,1410,LR,0.20500801603248497
2,5,1410,XGB,0.04313019429494791
2,5,1610,CPF,0.17062690231096833
2,5,1610,RF,0.15933145086294764
2,5,1610,LR,0.20700320191914479
2,5,1610,XGB,0.029732336553126015
2,5,1810,CPF,0.16327739667913566
2,5,1810,RF,0.15776371336782746
2,5,1810,LR,0.20504928799743616
2,5,1810,XGB,0.023942950732820267
2,5,2010,CPF,0.17501357868196976
2,5,2010,RF,0.15711864006214105
2,5,2010,LR,0.20693715277902314
2,5,2010,XGB,0.0420327965089774
2,5,2210,CPF,0.17575967427754513
2,5,2210,RF,0.15629657404245878
2,5,2210,LR,0.20597205916956107
2,5,2210,XGB,0.04326496299238747
2,5,2410,CPF,0.17913970431971715
2,5,2410,RF,0.16300265655985025
2,5,2410,LR,0.2069044167320494
2,5,2410,XGB,0.03517161871503738
2,5,2610,CPF,0.17047953991890996
2,5,2610,RF,0.16301899672971643
2,5,2610,LR,0.20753363210206
2,5,2610,XGB,0.04037831227038913
2,5,2810,CPF,0.18087226721810712
2,5,2810,RF,0.16429350325045244
2,5,2810,LR,0.21059266907185625
