id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,mse,mae,fit_duration,predict_duration,max_depth,df_setting,alpha
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - default df - max_depth = None,0.9707065468095859,2.52142430426939,0.06647785908108794,0.00605010986328125,2.8848648071289062e-05,,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - df alpha = 0.5 - max_depth = 6,0.9659285750025479,2.932686648830458,0.04013190876694672,0.017177104949951172,5.984306335449219e-05,6.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - df alpha = 0.5 - max_depth = 20,0.9659255651571672,2.932945720277099,0.03975359039218773,0.021564960479736328,5.984306335449219e-05,20.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,2,CPILOT - df alpha = 0.5 - max_depth = None,0.9659255651571672,2.932945720277099,0.03975359039218773,0.021156787872314453,3.0040740966796875e-05,,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,3,CART - max_depth = 6,0.8993291175038072,5.683499949106755,0.16904734429858914,0.0009472370147705078,0.00024390220642089844,6.0,,
pmlb_560,bodyfat,252,14,0,0,3,CART - max_depth = 20,0.8998233078245321,5.655599819565371,0.1499996185302752,0.0009462833404541016,0.00024175643920898438,20.0,,
pmlb_560,bodyfat,252,14,0,0,3,CART - max_depth = None,0.9245716776411825,4.25839980397271,0.1999988555908221,0.0009799003601074219,0.0002498626708984375,,,
pmlb_560,bodyfat,252,14,0,0,3,CPILOT - df alpha = 0.01 - max_depth = 6,0.8965136282532056,5.842451898426458,0.04473892409421154,0.033226966857910156,7.009506225585938e-05,6.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,3,CPILOT - df alpha = 0.01 - max_depth = 20,0.8964950018823167,5.843503473374195,0.05795044134313887,0.06976985931396484,0.00017118453979492188,20.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,3,CPILOT - df alpha = 0.01 - max_depth = None,0.8964950018823167,5.843503473374195,0.05795044134313887,0.07078695297241211,0.00015616416931152344,,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,3,CPILOT - default df - max_depth = 6,0.8986541278086717,5.721607332322504,0.05229847923614983,0.017319917678833008,3.0994415283203125e-05,6.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,3,CPILOT - default df - max_depth = 20,0.8986541278086717,5.721607332322504,0.05229847923614983,0.028112173080444336,8.177757263183594e-05,20.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,3,CPILOT - default df - max_depth = None,0.8986541278086717,5.721607332322504,0.05229847923614983,0.029842376708984375,4.887580871582031e-05,,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,3,CPILOT - df alpha = 0.5 - max_depth = 6,0.8986988312664914,5.719083542981004,0.045513314283853745,0.019495248794555664,2.384185791015625e-05,6.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,3,CPILOT - df alpha = 0.5 - max_depth = 20,0.8986897572870801,5.719595825780593,0.043318818496229206,0.029471874237060547,6.198883056640625e-05,20.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,3,CPILOT - df alpha = 0.5 - max_depth = None,0.8986897572870801,5.719595825780593,0.043318818496229206,0.029452085494995117,4.792213439941406e-05,,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,4,CART - max_depth = 6,0.9431861448687757,4.481209570527182,0.18999986648559553,0.0008919239044189453,0.00021719932556152344,6.0,,
pmlb_560,bodyfat,252,14,0,0,4,CART - max_depth = 20,0.9432319074864822,4.477600030566112,0.15000009536743253,0.0008909702301025391,0.0002219676971435547,20.0,,
pmlb_560,bodyfat,252,14,0,0,4,CART - max_depth = None,0.9458588383078215,4.270400087691113,0.19999980926513583,0.0008912086486816406,0.00037598609924316406,,,
pmlb_560,bodyfat,252,14,0,0,4,CPILOT - df alpha = 0.01 - max_depth = 6,0.9756216860082298,1.9228467021101288,0.030352830450662616,0.022916793823242188,5.412101745605469e-05,6.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,4,CPILOT - df alpha = 0.01 - max_depth = 20,0.9752451401023391,1.9525468714319083,0.03878819242407472,0.0612330436706543,0.00013208389282226562,20.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,4,CPILOT - df alpha = 0.01 - max_depth = None,0.9752451401023391,1.9525468714319083,0.03878819242407472,0.062116146087646484,0.0001552104949951172,,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,4,CPILOT - default df - max_depth = 6,0.9707601208971115,2.306304083295853,0.031331753312001,0.011520624160766602,1.9311904907226562e-05,6.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,4,CPILOT - default df - max_depth = 20,0.9707601208971115,2.306304083295853,0.031331753312001,0.011304140090942383,3.3855438232421875e-05,20.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,4,CPILOT - default df - max_depth = None,0.9707601208971115,2.306304083295853,0.031331753312001,0.010875701904296875,2.3126602172851562e-05,,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,4,CPILOT - df alpha = 0.5 - max_depth = 6,0.9546901870347897,3.5738248536298833,0.034225296437286445,0.021472930908203125,5.1975250244140625e-05,6.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,4,CPILOT - df alpha = 0.5 - max_depth = 20,0.9546856009886567,3.574186579370452,0.03952693953069186,0.03292274475097656,6.985664367675781e-05,20.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,4,CPILOT - df alpha = 0.5 - max_depth = None,0.9546856009886567,3.574186579370452,0.03952693953069186,0.03288602828979492,7.200241088867188e-05,,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,5,CART - max_depth = 6,0.9747544213728574,1.9313315280457066,0.19999965031941613,0.0008971691131591797,0.00023484230041503906,6.0,,
pmlb_560,bodyfat,252,14,0,0,5,CART - max_depth = 20,0.9755927145477395,1.8672006137851467,0.10000038146972745,0.0009500980377197266,0.00022292137145996094,20.0,,
pmlb_560,bodyfat,252,14,0,0,5,CART - max_depth = None,0.9745286876300994,1.9486005596163867,0.2500000000000018,0.0009150505065917969,0.0002491474151611328,,,
pmlb_560,bodyfat,252,14,0,0,5,CPILOT - df alpha = 0.01 - max_depth = 6,0.9932499829106302,0.5163882758278786,0.033317464850799894,0.019830942153930664,4.696846008300781e-05,6.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,5,CPILOT - df alpha = 0.01 - max_depth = 20,0.9932420795495571,0.5169928969634566,0.05926794996894369,0.048976898193359375,0.0001010894775390625,20.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,5,CPILOT - df alpha = 0.01 - max_depth = None,0.9932420795495571,0.5169928969634566,0.05926794996894369,0.04951810836791992,9.179115295410156e-05,,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_560,bodyfat,252,14,0,0,5,CPILOT - default df - max_depth = 6,0.9917640414290654,0.6300654338983032,0.13710609311401356,0.005463838577270508,2.3126602172851562e-05,6.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,5,CPILOT - default df - max_depth = 20,0.9917640414290654,0.6300654338983032,0.13710609311401356,0.0055539608001708984,1.3113021850585938e-05,20.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,5,CPILOT - default df - max_depth = None,0.9917640414290654,0.6300654338983032,0.13710609311401356,0.005499124526977539,1.2159347534179688e-05,,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_560,bodyfat,252,14,0,0,5,CPILOT - df alpha = 0.5 - max_depth = 6,0.9857782517156769,1.08798896040799,0.04605491989778576,0.02061009407043457,4.100799560546875e-05,6.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,5,CPILOT - df alpha = 0.5 - max_depth = 20,0.985773201269087,1.088375328527096,0.048433405713366184,0.03011298179626465,6.008148193359375e-05,20.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_560,bodyfat,252,14,0,0,5,CPILOT - df alpha = 0.5 - max_depth = None,0.985773201269087,1.088375328527096,0.048433405713366184,0.030483007431030273,4.887580871582031e-05,,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_574,house_16H,22784,16,0,0,1,CART - max_depth = 6,0.4155836270885489,1641707553.6598926,10085.382978723406,0.0810232162475586,0.0005238056182861328,6.0,,
pmlb_574,house_16H,22784,16,0,0,1,CART - max_depth = 20,0.08164918957747425,2579776221.6507597,9188.732394366198,0.19081711769104004,0.0011577606201171875,20.0,,
pmlb_574,house_16H,22784,16,0,0,1,CART - max_depth = None,0.13657785463692929,2425473897.9644504,9700.0,0.19609928131103516,0.0012679100036621094,,,
pmlb_574,house_16H,22784,16,0,0,1,CPILOT - df alpha = 0.01 - max_depth = 6,0.4657572781747983,1500762731.0967643,10627.197476423393,2.3109240531921387,0.0005259513854980469,6.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_574,house_16H,22784,16,0,0,1,CPILOT - df alpha = 0.01 - max_depth = 20,0.30759815867525053,1945053878.9800334,9806.058653386797,8.54338002204895,0.006081104278564453,20.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_574,house_16H,22784,16,0,0,1,CPILOT - df alpha = 0.01 - max_depth = None,0.2857515514476624,2006424062.585082,11130.262645303006,11.288233995437622,0.0202176570892334,,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_574,house_16H,22784,16,0,0,1,CPILOT - default df - max_depth = 6,0.5387346641027554,1295759019.227054,10095.78602469329,2.862384796142578,0.0005390644073486328,6.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_574,house_16H,22784,16,0,0,1,CPILOT - default df - max_depth = 20,0.5405241809958506,1290732015.3014786,8728.491519130032,6.130612850189209,0.001049041748046875,20.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_574,house_16H,22784,16,0,0,1,CPILOT - default df - max_depth = None,0.5405241809958506,1290732015.3014786,8728.491519130032,6.1693596839904785,0.001039266586303711,,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_574,house_16H,22784,16,0,0,1,CPILOT - df alpha = 0.5 - max_depth = 6,0.4875440685884532,1439560581.3111327,10515.650359335024,2.399489164352417,0.0004718303680419922,6.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_574,house_16H,22784,16,0,0,1,CPILOT - df alpha = 0.5 - max_depth = 20,0.4275166767477089,1608185943.6029313,8967.504556152377,8.263082027435303,0.002494335174560547,20.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_574,house_16H,22784,16,0,0,1,CPILOT - df alpha = 0.5 - max_depth = None,0.42457927700502074,1616437511.4391737,9030.618442242114,8.701303005218506,0.0028319358825683594,,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_574,house_16H,22784,16,0,0,2,CART - max_depth = 6,0.34377983291355374,1847185657.1992407,10248.422043010753,0.0812070369720459,0.0006389617919921875,6.0,,
pmlb_574,house_16H,22784,16,0,0,2,CART - max_depth = 20,0.12922302181360157,2451138848.5159426,9028.571428571428,0.1858057975769043,0.0011050701141357422,20.0,,
pmlb_574,house_16H,22784,16,0,0,2,CART - max_depth = None,0.11392497452984163,2494201123.866579,9600.0,0.19890880584716797,0.0012500286102294922,,,
pmlb_574,house_16H,22784,16,0,0,2,CPILOT - df alpha = 0.01 - max_depth = 6,0.4461036985157669,1559155531.9307928,11422.775056165323,2.3292999267578125,0.0005309581756591797,6.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
